         100
  Index n        Radius        d(theta)/dx    rho_c/rho_bar      Bn        -x^2 d(theta)/dx
  1.500000000    3.653753897   -0.203301255    5.990705588     0.062324994    2.714054993
  1.515151515    3.671774842   -0.200516617    6.103857964     0.062840456    2.703351087
  1.530303030    3.689966044   -0.197766335    6.219403725     0.063360796    2.692756635
  1.545454545    3.708329813   -0.195049900    6.337403597     0.063886087    2.682269659
  1.560606061    3.726868498   -0.192366930    6.457916112     0.064416402    2.671889868
  1.575757576    3.745584471   -0.189716840    6.581008594     0.064951817    2.661614015
  1.590909091    3.764480181   -0.187099263    6.706743282     0.065492407    2.651441854
  1.606060606    3.783558098   -0.184513691    6.835189426     0.066038251    2.641371039
  1.621212121    3.802820740   -0.181959727    6.966414690     0.066589426    2.631400686
  1.636363636    3.822270701   -0.179436927    7.100490709     0.067146014    2.621529239
  1.651515152    3.841910570   -0.176944861    7.237491096     0.067708097    2.611755133
  1.666666667    3.861743024   -0.174483120    7.377491164     0.068275757    2.602077091
  1.681818182    3.881770777   -0.172051308    7.520568166     0.068849079    2.592493952
  1.696969697    3.901996609   -0.169649031    7.666802029     0.069428148    2.583004478
  1.712121212    3.922423324   -0.167275878    7.816276083     0.070013054    2.573607079
  1.727272727    3.943053785   -0.164931462    7.969075437     0.070603887    2.564300461
  1.742424242    3.963890940   -0.162615433    8.125286465     0.071200734    2.555083839
  1.757575758    3.984937761   -0.160327400    8.285000486     0.071803691    2.545955658
  1.772727273    4.006197298   -0.158067003    8.448310388     0.072412852    2.536914817
  1.787878788    4.027672623   -0.155833878    8.615312383     0.073028314    2.527960043
  1.803030303    4.049366936   -0.153627692    8.786104645     0.073650172    2.519090506
  1.818181818    4.071283423   -0.151448086    8.960789839     0.074278528    2.510304845
  1.833333333    4.093425376   -0.149294726    9.139473075     0.074913484    2.501602026
  1.848484848    4.115796161   -0.147167271    9.322263309     0.075555143    2.492980910
  1.863636364    4.138399164   -0.145065409    9.509271721     0.076203610    2.484440618
  1.878787879    4.161237889   -0.142988807    9.700614517     0.076858994    2.475979992
  1.893939394    4.184315871   -0.140937149    9.896411071     0.077521405    2.467597967
  1.909090909    4.207636743   -0.138910133   10.096783825     0.078190954    2.459293738
  1.924242424    4.231204187   -0.136907446   10.301860383     0.078867755    2.451066175
  1.939393939    4.255021992   -0.134928790   10.511771925     0.079551925    2.442914363
  1.954545455    4.279093982   -0.132973869   10.726653844     0.080243583    2.434837347
  1.969696970    4.303424105   -0.131042394   10.946646032     0.080942850    2.426834245
  1.984848485    4.328016351   -0.129134079   11.171893042     0.081649848    2.418904122
  2.000000000    4.352874815   -0.127248643   11.402544184     0.082364705    2.411046097
  2.015151515    4.378003663   -0.125385810   11.638753662     0.083087549    2.403259295
  2.030303030    4.403407150   -0.123545309   11.880680829     0.083818511    2.395542864
  2.045454545    4.429089643   -0.121726871   12.128490587     0.084557724    2.387895960
  2.060606061    4.455055574   -0.119930235   12.382353112     0.085305326    2.380317767
  2.075757576    4.481309470   -0.118155141   12.642444544     0.086061457    2.372807450
  2.090909091    4.507855966   -0.116401336   12.908946859     0.086826257    2.365364233
  2.106060606    4.534699781   -0.114668568   13.182048284     0.087599874    2.357987329
  2.121212121    4.561845763   -0.112956590   13.461943686     0.088382454    2.350675975
  2.136363636    4.589298849   -0.111265160   13.748834637     0.089174150    2.343429402
  2.151515152    4.617064058   -0.109594039   14.042929377     0.089975117    2.336246876
  2.166666667    4.645146562   -0.107942993   14.344443753     0.090785513    2.329127683
  2.181818182    4.673551619   -0.106311788   14.653601216     0.091605499    2.322071073
  2.196969697    4.702284614   -0.104700197   14.970632829     0.092435240    2.315076372
  2.212121212    4.731351033   -0.103107997   15.295777782     0.093274904    2.308142896
  2.227272727    4.760756518   -0.101534964   15.629284476     0.094124666    2.301269923
  2.242424242    4.790506812   -0.099980882   15.971409374     0.094984699    2.294456825
  2.257575758    4.820607784   -0.098445538   16.322418384     0.095855184    2.287702953
  2.272727273    4.851065444   -0.096928718   16.682587482     0.096736306    2.281007614
  2.287878788    4.881885955   -0.095430215   17.052202227     0.097628252    2.274370219
  2.303030303    4.913075581   -0.093949825   17.431558443     0.098531215    2.267790150
  2.318181818    4.944640784   -0.092487343   17.820963816     0.099445392    2.261266750
  2.333333333    4.976588129   -0.091042573   18.220736234     0.100370983    2.254799459
  2.348484848    5.008924353   -0.089615318   18.631205925     0.101308195    2.248387685
  2.363636364    5.041656363   -0.088205384   19.052715852     0.102257238    2.242030817
  2.378787879    5.074791188   -0.086812582   19.485620946     0.103218327    2.235728312
  2.393939394    5.108336064   -0.085436723   19.930290235     0.104191683    2.229479606
  2.409090909    5.142298379   -0.084077623   20.387106650     0.105177532    2.223284134
  2.424242424    5.176685721   -0.082735098   20.856467802     0.106176104    2.217141365
  2.439393939    5.211505825   -0.081408970   21.338786270     0.107187636    2.211050767
  2.454545455    5.246766640   -0.080099061   21.834490948     0.108212370    2.205011809
  2.469696970    5.282476307   -0.078805195   22.344027307     0.109250554    2.199023980
  2.484848485    5.318643144   -0.077527202   22.867857945     0.110302441    2.193086775
  2.500000000    5.355275695   -0.076264911   23.406463990     0.111368291    2.187199694
  2.515151515    5.392382727   -0.075018154   23.960345652     0.112448372    2.181362250
  2.530303030    5.429973188   -0.073786767   24.530022658     0.113542955    2.175573957
  2.545454545    5.468056290   -0.072570585   25.116036007     0.114652320    2.169834341
  2.560606061    5.506641455   -0.071369449   25.718948079     0.115776754    2.164142946
  2.575757576    5.545738339   -0.070183200   26.339344028     0.116916551    2.158499312
  2.590909091    5.585356865   -0.069011681   26.977833047     0.118072011    2.152902999
  2.606060606    5.625507214   -0.067854739   27.635049682     0.119243443    2.147353544
  2.621212121    5.666199804   -0.066712219   28.311653909     0.120431164    2.141850523
  2.636363636    5.707445341   -0.065583974   29.008333411     0.121635499    2.136393510
  2.651515152    5.749254810   -0.064469854   29.725804593     0.122856780    2.130982084
  2.666666667    5.791639482   -0.063369712   30.464813858     0.124095350    2.125615834
  2.681818182    5.834610947   -0.062283406   31.226139550     0.125351558    2.120294353
  2.696969697    5.878181077   -0.061210791   32.010592591     0.126625766    2.115017243
  2.712121212    5.922362079   -0.060151728   32.819018933     0.127918341    2.109784112
  2.727272727    5.967166484   -0.059106077   33.652300861     0.129229663    2.104594576
  2.742424242    6.012607178   -0.058073702   34.511359160     0.130560122    2.099448254
  2.757575758    6.058697373   -0.057054468   35.397154266     0.131910118    2.094344777
  2.772727273    6.105450682   -0.056048240   36.310689498     0.133280060    2.089283776
  2.787878788    6.152881064   -0.055054887   37.253011975     0.134670372    2.084264895
  2.803030303    6.201002891   -0.054074278   38.225215795     0.136081485    2.079287779
  2.818181818    6.249830936   -0.053106286   39.228443995     0.137513847    2.074352081
  2.833333333    6.299380380   -0.052150783   40.263891031     0.138967914    2.069457461
  2.848484848    6.349666851   -0.051207644   41.332805791     0.140444158    2.064603584
  2.863636364    6.400706420   -0.050276745   42.436494198     0.141943063    2.059790120
  2.878787879    6.452515631   -0.049357964   43.576322430     0.143465125    2.055016747
  2.893939394    6.505111492   -0.048451179   44.753719606     0.145010858    2.050283147
  2.909090909    6.558511538   -0.047556273   45.970182163     0.146580789    2.045589008
  2.924242424    6.612733816   -0.046673125   47.227276719     0.148175458    2.040934024
  2.939393939    6.667796893   -0.045801621   48.526643679     0.149795425    2.036317895
  2.954545455    6.723719919   -0.044941645   49.870002631     0.151441264    2.031740310
  2.969696970    6.780522603   -0.044093084   51.259154150     0.153113566    2.027201010
  2.984848485    6.838225258   -0.043255825   52.695987153     0.154812939    2.022699695
  3.000000000    6.896848841   -0.042429758   54.182482679     0.156540012    2.018236087
